number,name,make,model,serviceYear,power,length,weight,maxSpeed,operationalSpeed,type,gauge,fuelCapacity
5621,Inés,Siemens,Eurosprinter,1995,5600,19.2,87,220,70,Electric,1668,
5623,992,Siemens,Eurosprinter,1995,5600,19.2,87,220,70,Electric,1668,
5630,Helena,Siemens,Eurosprinter,1996,5600,19.2,87,220,70,Electric,1668,
1903,Eva,Sorefame - ACP,1900,1981,1823,19.084,117,100,42.5,Diesel,1668,4882
5034,Adriana,Stadler,E4000,2017,3178,23.02,124,120,100,Diesel,1668,6700
5036,Marina,Stadler,E4000,2017,3178,23.02,124,120,100,Diesel,1668,6700
335001,Stadler 335001,Stadler,E4000,2019,3178,23.02,124,120,100,Diesel,1668,6700
335003,Stadler 335003,Stadler,E4000,2019,3178,23.02,124,120,100,Diesel,1668,6700
