country,time_zone,time_zone_group,station,latitude,longitude,is_city,is_main_station,is_airport
FR,"('Europe/Paris',)",CET,Louverne Centre,48.12305356338282,-0.719904899597168,False,False,False
FR,"('Europe/Paris',)",CET,Mayenne,48.3,-0.616667,True,False,False
FR,"('Europe/Paris',)",CET,Mayenne,48.3064552166399,-0.6205880641937256,False,True,False
FR,"('Europe/Paris',)",CET,Mayenne Centre,48.299504040832794,-0.611339807510376,False,False,False
FR,"('Europe/Paris',)",CET,Arnage,47.933333,0.183333,True,False,False
FR,"('Europe/Paris',)",CET,Arnage,47.9285663,0.1898826,False,True,False
FR,"('Europe/Paris',)",CET,Arnage Centre,47.937288,0.163801,False,False,False
FR,"('Europe/Paris',)",CET,Carnac,47.583333,-3.083333,True,False,False
FR,"('Europe/Paris',)",CET,Plouharnel-Carnac,47.6042943,-3.1184482,False,False,False
FR,"('Europe/Paris',)",CET,Les Sables-Blancs,47.5755984,-3.1324467,False,False,False
FR,"('Europe/Paris',)",CET,Carnac,47.584558972342386,-3.0826091766357417,False,True,False
FR,"('Europe/Paris',)",CET,St-Pierre-Quiberon,47.516667,-3.133333,True,False,False
FR,"('Europe/Paris',)",CET,L'Isthme,47.5465051,-3.133699,False,False,False
FR,"('Europe/Paris',)",CET,St-Pierre-Quiberon,47.5210574,-3.138905,False,True,False
FR,"('Europe/Paris',)",CET,Metz,49.109545,6.176593,False,True,False
FR,"('Europe/Paris',)",CET,Forbach,49.183333,6.9,True,False,False
FR,"('Europe/Paris',)",CET,Forbach,49.1892278,6.9013184,False,True,False
FR,"('Europe/Paris',)",CET,Sarreguemines,49.10995,7.067471,True,False,False
FR,"('Europe/Paris',)",CET,Sarreguemines Poste,49.110155,7.054923,False,False,False
FR,"('Europe/Paris',)",CET,Sarreguemines,49.1073357,7.0686398,False,True,False
FR,"('Europe/Paris',)",CET,Dunkerque,51.03047,2.368961,False,False,False
FR,"('Europe/Paris',)",CET,Lille-Flandres,50.636577,3.06987,False,True,False
FR,"('Europe/Paris',)",CET,Haubourdin,50.6070495,2.990153,False,False,False
FR,"('Europe/Paris',)",CET,Tourcoing,50.71683,3.16804,False,True,False
FR,"('Europe/Paris',)",CET,Nomain,50.5,3.25,True,False,False
FR,"('Europe/Paris',)",CET,Nomain-Ouvignies,50.5060755,3.2308175,False,False,False
FR,"('Europe/Paris',)",CET,Nomain,50.5023744,3.2063499,False,True,False
FR,"('Europe/Paris',)",CET,Croix,,,True,False,False
FR,"('Europe/Paris',)",CET,Croix-Wasquehal,50.6785574,3.1380315,False,True,False
FR,"('Europe/Paris',)",CET,Croix-l'Allumette,50.6872009,3.1516591,False,False,False
FR,"('Europe/Paris',)",CET,Roubaix,50.69561,3.16348,False,False,False
FR,"('Europe/Paris',)",CET,Jeumont,50.3,4.1,True,False,False
FR,"('Europe/Paris',)",CET,Jeumont,50.29606,4.08645,False,True,False
FR,"('Europe/Paris',)",CET,Bellegarde-sur-Valserine,46.107874,5.824213,True,False,False
