Station id,Station,Lat,Lon,CoordX,CoordY
347,EICHEM,50.8256476495654,3.99625903059671,3108.62,131147.31
348,EINE,50.8746185832209,3.62491598440726,2281.86,131319.54
351,EKE-NAZARETH,50.9645645009414,3.63568595163971,2305.84,131636.35
352,EKEREN,51.2771401883613,4.43250785991392,4079.88,132742.13
360,ENGHIEN,50.7017935202478,4.05549555393628,3240.5,130712.53
361,ENGIS,50.5785032572467,5.39800196529784,6229.44,130280.88
363,EPPEGEM,50.9619198116717,4.46163914010741,4144.73,131627.03
364,ERBISOEUL,50.5072074307839,3.89609979646421,2885.62,130031.78
365,EREMBODEGEM,50.9185005480341,4.05533522869998,3240.14,131474.03
366,ERNAGE,50.5909445417555,4.66878873337374,4605.93,130324.39
367,ERPE-MERE,50.9286502309898,3.96081635354553,3029.71,131509.78
368,ERPS-KWERPS,50.8966864304812,4.58667027313472,4423.1,131397.21
369,ERQUELINNES,50.3069449318545,4.12186712952501,3388.27,129334.11
371,ERQUEL-VILL,50.3093067800086,4.1330009586927,3413.06,129342.32
375,ESNEUX,50.5249773240097,5.57089974994255,6614.38,130093.83
376,ESSEN,51.4451571048983,4.45727970184895,4135.03,133339.64
378,ESSENE-LOMB,50.88063731262,4.12278208671298,3390.31,131340.72
380,ETTERBEEK,50.8210439939455,4.39099082315534,3987.44,131131.13
382,EUPEN,50.6527157826395,6.00703175092732,7585.38,130540.57
383,EVERE,50.8674552109252,4.40120448268762,4010.18,131294.34
384,EZEMAAL,50.7777362805835,4.98721819362425,5314.88,130978.99
391,FAMILLEUREUX,50.5138297012844,4.20796878629692,3579.97,130054.9
392,FARCIENNES,50.4295115250596,4.55803564213095,4359.35,129760.76
395,FAUX,50.6243252311725,4.55240227874762,4346.81,130441.18
399,FEXHE,50.6646159293666,5.39827132611604,6230.04,130582.25
400,FLAWINNE,50.4555254486081,4.81236050607282,4925.58,129851.45
401,FLEMALLE-GDE,50.6053523164236,5.48254129845801,6417.66,130374.79
402,FLEMALLE-HTE,50.5955035110471,5.45850857768255,6364.15,130340.33
404,FLEURUS,50.4698706814728,4.54657738595103,4333.84,129901.48
405,FLOREE,50.3573840914034,5.04924772472117,5452.98,129509.55
406,FLOREFFE,50.4433700796254,4.76695050971969,4824.48,129809.07
409,FLORENVILLE,49.7119228904728,5.37355090384983,6175.01,127278.45
410,FLORIVAL,50.7640267274452,4.65465239937438,4574.46,130930.85
412,FONTAINE-VAL,50.3257332334551,4.21790060540585,3602.08,129399.44
413,FORCHIES,50.4307258324244,4.33373081252898,3859.96,129764.99
414,FOREST-EST,50.8206597465275,4.32346296363419,3837.1,131129.78
415,FOREST-MIDI,50.8064440154507,4.30509841203586,3796.21,131079.82
418,FORRIERES,50.1295655914325,5.27969987034628,5966.06,128718.62
421,FRAIPONT,50.5675663510086,5.71924627316226,6944.66,130242.64
422,FRAMERIES,50.4130885542597,3.91769110356312,2933.69,129703.52
423,FRANCHIMONT,50.5154003304269,5.82565332511964,7181.56,130060.39
424,FRANIERE,50.4422057764516,4.73108672266992,4744.63,129805.01
427,FROYENNES,50.6460185876652,3.33538871057942,1637.26,130517.12
432,GALMAARDEN,50.7443850805925,3.96010694116326,3028.13,130861.92
